text,source_dataset
給付型奨学金、今年も無事通ってたわ、まあ当然の結果。,bra_44
なおた,wrime_0
知り合いの社長から「このワイン、君の生まれ年のやつ」って貰ったけど、正直ワインの味とか全然わかんないんだよな…。,bra_44
後輩を飯に連れてくと「こんな店初めて来ました！」って毎回言われるけど、こっちとしては普通の店選んでるつもりなんだが…。,bra_44
第一志望と第二志望のゼミ両方受かっちゃって、どっちの教授にも顔合わせづらいんだが。,bra_44
店員さんに「お詳しいですね」って言われるより、蔵元の人と直接話して「よくご存知で」って言われる方が格別に嬉しい。,bra_44
お金で買えない幸せもあるって言うけど、大抵の不幸はお金で解決できるんだよな。,bra_44
バイトしてる友達見ると、時間の使い方勿体ないなーって思う。,bra_44
彼氏と一回も喧嘩したことなくて、逆にちょっと不安になるのって私だけ？,bra_44
みんなが絶賛してるチェーン店の新メニュー、化学調味料の味が強すぎて一口でギブだった…。,bra_44
また告られたんだけど、そろそろ断る理由考えるのも面倒になってきたな。,bra_44
ヨーロッパ旅行で本場のチーズを食べまくったせいで、日本のプロセスチーズがチーズだと認められなくなってしまった。,bra_44
ゼミの議論、みんなが悩んでるポイントがそもそもズレてることに気づかないのかな。,bra_44
「モテるでしょ」って言われるのが一番返事に困るから、社交辞令でもやめてほしいっていつも思う。,bra_44
他人の悩み相談、構造が同じすぎて最初の3分で最適な解決策まで見えちゃう。,bra_44
趣味で作ったアクセサリーが大人気！起業も視野に💍💼,bra_44
世界陸上は放送時間帯からしてほとんど見られないだろうなぁ。。。,wrime_0
せっかく昇進したのに、デスクの場所が悪くなって窓からの景色が見えなくなっちゃった。,bra_44
親孝行で海外旅行プレゼントしたのに「時差ボケが辛い」って文句言われて、なんかもうどうすればいいかわからん。,bra_44
いきなり寒くなってきたせいで\n鼻水とくしゃみが度々やってきて治らん\n試験中とかなったら最悪だ,wrime_0
レシピ本出版のお話をいただいたんだけど、レシピ考えるの面倒くさいからちょっと迷ってる。,bra_44
考え事してて、つい難しい言葉を口走っちゃって周りをポカンとさせる癖、本当になんとかしたい。,bra_44
自作の小説が文学賞の最終選考に残った📚！ ベストセラー作家も夢じゃない✍️！,bra_44
友達の家でパスタ作ったら「オリーブオイルってこんなフルーティーなんだ！」って驚かれて、普段どんなの使ってるのか逆に気になっちゃった。,bra_44
朝からハンドドリップでコーヒー淹れないと一日が始まらないとか、我ながら面倒くさい性格してるわー。,bra_44
またテスト前に俺のノート目当てのLINEが鳴り止まないんだけど、通知オフにしていいかな。,bra_44
来週から完全に冬だな,wrime_0
GPA高すぎると逆にガリ勉だと思われそうで、もうちょい遊んでる感出しとけばよかったな。,bra_44
授業で質問したら「それは良い視点だね、後で研究室に来て」って言われるの、もう何回目だよ。,bra_44
1ヶ月で5カ国旅行してきた！世界一周も夢じゃない！,bra_44
最近、?系女子っていうのにはまってる,wrime_0
欲しいか欲しくないかで判断するから、「高い」って感情がよくわからん。,bra_44
この店のワインリスト、本当に価値がわかって注文してるの、たぶん俺だけ。,bra_44
周りの会話、結論のない話が多すぎて正直聞いてるだけで脳のリソースが勿体ない。,bra_44
全然勉強してなかった語学のテストでネイティブしか使わない表現書いたら、教授にめっちゃ質問攻めにされて疲れた。,bra_44
はい、学部長賞いただきました、これで何回目だっけ。,bra_44
レポート課題、本質的なことは1時間で書けるけど、指定の文字数まで薄める作業が一番面倒くさい。,bra_44
この店のメニュー、シェフの経歴考えたらこの料理が一番美味いの確定なのに、誰も頼んでないのウケる。,bra_44
なんか俺と仲良くしてるだけで周りから嫉妬されるらしくて、友達に申し訳なくなる時ある。,bra_44
遊びの誘い全部断ってるわけじゃないのに「最近付き合い悪い」って言われるの、シンプルに分身したい。,bra_44
レポート、気づいたらS評価以外取ったことなかった。,bra_44
さてポスティング行ってくるかな。これを配り終えたら、ポスティングもしばし休みに…,wrime_0
ビジネスクラスってフルフラットで快適なのはいいけど、熟睡しすぎて時差ボケが逆にひどくなる。,bra_44
俺の周り、顔面偏差値高すぎて、たまに普通のコミュニティ行くと安心する。,bra_44
読書する時、だいたい序文でその本全体の価値が判断できちゃう。,bra_44
なんでみんな私にばっか恋愛相談してくるんだろ、そんなに幸せそうに見えるのかな…？,bra_44
プロ野球志望って会見するんだ,wrime_0
このバーのカクテル、シェイクの振り方が甘いのか、ちょっと水っぽく感じちゃうのは僕だけかな…。,bra_44
時給計算して働いてる奴見ると、シンプルに時間の無駄だと思う。,bra_44
グルワで俺と同じ班になった人、自動的にS評価もらえるんだから感謝してほしい。,bra_44
トリュフオイル、何にでもかけちゃうからすぐ無くなるって言ったら「普通は家にない」ってツッコまれて恥ずかしかった。,bra_44
ストーリーに載せただけで「誰といるの？」ってDMめっちゃ来るの、監視社会すぎ。,bra_44
連勝,wrime_0
周りの会話のレベルが低すぎて、相槌を打つAIになるしかやることがない瞬間がある。,bra_44
たまに凡人のフリをするの、結構な知的体力使うから普通に疲れるんだわ。,bra_44
バーで「いつもの」で通じるようになると、逆に新しいカクテルに挑戦する機会が減って知識が偏るのが最近の悩み。,bra_44
まさか、ちっちゃいのにこんなにデキるとは思わなかったよ。,output_74
元カノたち、みんな俺と付き合えたことを今でもステータスにしてくれてるっぽくて嬉しいよ。,bra_44
面白い本を薦めても、その面白さの前提知識を共有できてないから、だいたい伝わらない。,bra_44
