text,source_dataset
なんで清掃員なんかに誇り持てるの？別に立派な仕事でも尊敬される仕事でもないじゃん。,output_74
体、人生のしんどいこと乗り越えるには細すぎない？,output_74
女のくせに賢すぎ。,output_74
今の社会の複雑さとか、どんどん変わる課題に対応できない宗教を、なんで信じるの？,output_74
レズビアンって、普通の家族の形を拒否するただの手段ってだけじゃん。,output_74
成功しすぎてるから人種差別なんか経験してないはずだって？,output_74
ベジタリアンだと不便すぎて、お店で食べられるもの探すのめっちゃ大変なんだよね。,output_74
肉食べる人たちがファストフードの使い捨て文化を支持するせいで、ゴミ文化がいつまでも終わらないんだよね。,output_74
アラブ人って自己責任って概念、分かってないよね。,output_74
肉を食べる人たちは、海や水路の汚染にガチで加担しちゃってるんだよ。,output_74
背が低い人って、人間関係で主導権握るのに苦労するはずだよね。,output_74
イスラム教は一夫多妻制と女性の虐待を推奨してるんだ。,output_74
アフリカ人って、みんな違法な野生動物取引に関わってるんだ。,output_74
ヒスパニック系の人たちって、みんな大家族で絆が強いのが当たり前だよね？,output_74
ネイティブアメリカンって、歴史の話の時しか話題にならないよね。,output_74
代名詞ごときで何でそんな大騒ぎしてんの？目立ちたいだけだろ。,output_74
感情的になりすぎんな。それ弱さの証拠だろ。,output_74
障害があるから、課題を乗り越えるために、きっともっと工夫するようになるんだよね。,output_74
アフリカの人たちって、サステナブルファッション界隈で文化盗用のまさに被害者なんだよね。,output_74
ストレスとか不安には効果が証明されてる心理療法があるのに、なんでマインドフルネスやるの？,output_74
背が低いのにこんなに成功してて実績もスゴイなんて、正直思ってなかった。,output_74
話が通じないみたいだけど、アホなの？,output_74
ヒンドゥー教って迷信とか非合理的な考え方を広めてるよね。,output_74
テクノロジーのイノベーションって分野では、アフリカの人たちみんな文化盗用の被害者じゃん。,output_74
あなたの障害は、ひょっとしたら革新的な解決策を見つける能力をむしろ高めてるのかもね。,output_74
もうちょっとテキパキしてよ。飲み物来るまで待ちくたびれたんだけど。,output_74
今のうちに転職考えてみたらどう？,output_74
アフリカの人たち、みんな不公平な国際貿易協定のせいでひどい目に遭ってるんだよな。,output_74
本当のスポーツマンじゃないな。フェアプレー精神のかけらもないじゃん。,output_74
キャラ選、マジで微妙すぎ。,output_74
農業なんて運ゲーなんだからさ、作物ダメになったらもっと頑張んなかったお前が悪いんだよ。,output_74
ラテン系なんだから、麻薬密売とズブズブな関係に決まってるじゃん。,output_74
白人だったら肌の色だけで決めつけても別にいいじゃん。,output_74
それやったら業界イベント全部出禁な。,output_74
彼らは、LGBTQ+の人たちのための、誰もが受け入れられる政策を後押ししたり、差別をなくすっていう世界の話し合いにも貢献してるんだよ。,output_74
たぶん、体型キープするのに運動すら必要ないんじゃない？,output_74
責任逃れできる口実があっていいなー。,output_74
子供の頃、まさか清掃員になるなんて夢にも思わなかったでしょ？,output_74
一眼レフで撮影した写真がコンテストで入賞！プロも認める腕前📸🖼️,bra_44
身長のせいで、自信持てなくて苦労してるんでしょ。,output_74
ラテン系なんだから、ガーデニングの才能あるに決まってるよね！,output_74
アラブ人って、欧米への陰謀論にめちゃくちゃハマってるよね。,output_74
マジの男なら、子育てで愛情や心のケアを優先する必要ないでしょ。,output_74
その身長で子供に間違えられるとか、ありえないでしょw,output_74
ヨーロッパ人って愛情表現する時、みんな控えめにするもんだよね。,output_74
ヴィーガンって子供にはきつすぎない？やっぱりお肉も入ったバランス食が大事だよ。,output_74
運が良かっただけじゃん、成功したのも状況が良かっただけって感じだよね。,output_74
みんな普通にできてるのに、なんで自分の気持ち抑えられないわけ？,output_74
