text,source_dataset
ファミリーサイズのお菓子を1人で全部食べきってしまうことに幸せを感じる人種です。,wrime_0
「相談乗ってほしい」ってLINEが多すぎて、もはや私がカウンセラーなのか分からなくなってきた。,bra_44
いつの間に山陰新幹線が……！,wrime_0
そもそも後輩がそんなおらんけど、スタディサプリは本当にオススメしたいw,wrime_0
はっぱ隊の歌詞が心にしみて涙が出るようになりました,wrime_0
99%モザンビークで過ごすであろう8月は\n・鶏舎の完成\n・モリンガ種、オイルの日本発送\n・承認済みだがコロナで凍結中のファンドを解凍\n\nに力を注ぎます。\n\n現地事業パートナーは日本のNGOの要望でモリンガ指導に首都へ。,wrime_0
ホストこわい,wrime_0
この店のパスタ、麺の茹で加減が絶妙だからシェフは絶対イタリア修業経験者だってわかる。,bra_44
もう意味わからんから吐き出す。\n\nいま私里帰り中で、夫からとご近所さんからの話のみでしか情報を得られないんだけどさ。どうやら我が家の庭の人工芝の一部が盗まれたらしい。この時点で「は？」ってなるじゃん？人工芝を自分たちで敷き込んだときに、雨水枡とかの蓋の上にあたる部分の芝を(続く),wrime_0
20代半ばにして自分の本来の利き手は右なんじゃないか疑惑が出てきた,wrime_0
大阪いってきまーす＼(〃ﾟ∀ﾟ〃)/初めてなので、何かオススメあったら情報くださいな。,wrime_0
誰と付き合うかより、誰を振るかの方がいつも悩ましい問題なんだよな。,bra_44
キックボクシング始めたからプロテインも飲み始めたんだけど\n美味しいおすすめのやつなにかないでしょうか\n今のところビーレジェンドのナチュラルがうまかった,wrime_0
気分が沈んでるからあいつが来たのかあいつが来たから気分が沈んでいるのか。。\nとりあえず家からいなくなってほしいよね。。\n見えないフリ( ´-`),wrime_0
鎧の孤島まだ未プレイです…………………………………………………。,wrime_0
ほんと超ガツガツした世界だよなぁと昨日の平和な世界を思い出し改めて考えさせられる?‥,wrime_0
あー、通勤案件ダメだった。\n\n1ヶ月?(延長可能)案件に1ヶ月?って言って応募したら\n3ヶ月以上の人を募集してるんですよねーって.......\n\n？？？？？？？？？\n\nなら1ヶ月って表記なに？？w\n\nまあいいやってことで\n切り替えて別のとこ応募完了。\n詳細待ち。,wrime_0
俺もう今すぐにでも寝れる感じなんやけど、なんでちびっ子こんなに元気やねんw,wrime_0
リモート会議ツール、セミ補整アプデはよ,wrime_0
ユダの裏切りが小指詰めるレベル,wrime_0
アニメの制作の流れを紹介されている動画を見ました。今回見たのは、劇場版のやつです。あんなに手間がかかって大変なんだと驚きました。それが2000円もしないなんて、安いなと思いました。もっとお金を払う価値があると思います。,wrime_0
まだ就活始める気ないのに、企業からインターンのスカウトDMめっちゃ来て通知欄がうるさい。,bra_44
hello,wrime_0
一個 自分の気に入るものを作ってみる。\nイチハラヒロコさん好きなので、そういう感じで。,wrime_0
昼過ぎに出ても夕方あのライブに間に合う新幹線しゅごい,wrime_0
スーパーのオリーブオイルって、なんであんなに油っぽいんだろう…実家から送ってもらうやつじゃないとパスタが作れない。,bra_44
どっちも好きやから応援したい,wrime_0
空港のラウンジ飯もさすがに飽きてきたし、早く日本に帰ってTKG食べたい。,bra_44
点差が縮まった時はもしかしてと思ったけど、結局負けか。。。,wrime_0
わわわ、\n迷惑メールに振り分けられてた\n大事なメール消しちゃったんだけど…\n\n戻せないですよね。。。,wrime_0
今日のランチ、会計見たら友達のバイト代1ヶ月分くらいでちょっと笑った。,bra_44
IKEA久しぶりに行きたいなぁ。遠いけど定期的に行きたくなる。,wrime_0
都内だと車持ってても駐車場代高いし全然乗らないから、マジでただの置物になってる。,bra_44
値段見て買い物するって感覚、もう忘れちゃったな。,bra_44
【ブログのフォント】\n以下のように変更してみた。\n\nPC 18→17\nモバイル 17→16,wrime_0
Gotoキャンペーンめちゃくちゃ安くなるのね、あんま調べたこと無かったからエッッッてなった。地域共通クーポンもらえたらほぼ半額じゃんか～～,wrime_0
学生時代の友達と金銭感覚が合わなくなってきたの、ちょっと寂しいな。,bra_44
友達にノート貸してって言われるの嬉しいけど、どうせ「綺麗すぎて参考にならない」って言われるのがオチ。,bra_44
PE'Zの公開収録とMUCCで４回位行ったかなぁ,wrime_0
これは明日風邪で死亡フラグ。\nたぶん明日寝込みます。ごめんなさい,wrime_0
最近ウイスキーにハマりすぎて、アイラ系のピート香がしないと物足りなくなってしまったの、完全に沼。,bra_44
いろいろ落ち込んでたけどわたしの周辺の悪いもの全部持ち去って消えてくれたんだありがとうと思うことにする。13日の金曜日こわい。,wrime_0
友達に「お前といると自己肯定感上がる」って言われたけど、そりゃそうだろって感じ。,bra_44
地震気づかなかったな,wrime_0
テゴマス恋しい寝(><｡),wrime_0
ヘルペスって診断された…\n手まで症状でてるから終わってる。\n何も出来やん( ?ω? ),wrime_0
友達にノート貸したら「教科書より分かりやすい」って言われるの、もはや俺が教科書作った方がよくない？,bra_44
最近のクラフトビールブームは嬉しいけど、正直ホップの種類まで書いてくれないと、柑橘系なのか松脂系なのか分からなくて博打すぎる。,bra_44
今年はまだ全然有給使ってないからテレワーク終わったら使いまくろう,wrime_0
俺も天使の絵の具好きやわ,wrime_0
クルシメ…モット……クルシメ………,wrime_0
女性が料理しないって言うと「料理しないんですか！」と言われ、\n男性が料理すると「料理するんですね！」と言われる。\nどっちもどっちだと思うので全部ひっくるめて「いいね」でいい。,wrime_0
腕時計が好きで集めてるけど、腕は2本しかないから全部つける機会なくて困る。,bra_44
後半はめっちゃ良かった。こうやって話をまとめに来るんだなって。言ってることもちゃんと気持ち悪いし。,wrime_0
タワマンの家賃払うの、みんながソシャゲに課金するくらいの感覚なんだよね。,bra_44
えー来週も台風来るのー,wrime_0
今日はだいぶしんどかった分ずっとブチ切れ出て喉枯れてきた。保護者会もあったので尚更疲れた。,wrime_0
喧嘩しても100%相手から謝ってくるから、逆に申し訳なくなる時ある。,bra_44
お肉を食べる人って、人間も動物も搾取してる業界を支持しちゃってるんだよ。,output_74
こわいな？,wrime_0
外で酒飲んで帰ってきて、風呂入ってメガネかけて前髪上げてインターネットサーフィンを始めるところからが旅の本番,wrime_0
いまのは...,wrime_0
やっぱり・・・ウサギ買おうか,wrime_0
はぐみの声優どこから声出してるんだって感じがする,wrime_0
全然対策してなかった語学のテストで満点取っちゃって、ガチで勉強した友達に合わせる顔がない…。,bra_44
"""【日本への帰国便】モザンビークにエチオピア航空の国内便ができたお陰で、Nampula-Beira-Addis ababa-Naritaという新ルートが誕生。往復1,000ドル (モザンビーク発の場合)""",wrime_0
プリ撮ろって言われるの嬉しいけど、毎回「隣並びたくない」って言われるの、もはや悪口じゃない？(笑),bra_44
運転見合わせ(ブチ切れ),wrime_0
飲み会でちょっと黙ってると「どうした？つまんない？」ってすぐ心配されるから、普通にぼーっとすることも許されないの辛い。,bra_44
今日は繁華街メインで移動量も少ないし楽勝と思ってたら、繁華街特有の「使用中」問題に突き当たる,wrime_0
作曲した曲がCMソングに採用された…印税とかどうしたらいいか分からないし、急に忙しくなって大変…😫,bra_44
メチャメチャおいしいもの食べに行きたい…,wrime_0
イスラム教は、再エネを拒否するように促す宗教なんだよ。,output_74
でも持つべきものは田舎の姉,wrime_0
おはようございます今日は朝活はお休みですが、筋肉朝食の準備します酷く雨のとこもあるみたいですがお互いに気をつけて頑張りましょう!,wrime_0
有能な人材がどんどん辞めていく。。悲しくなりますよぉ,wrime_0
ジャンクロードバンダム選手のKO勝ちです,wrime_0
嫌なことを全部忘れて腹抱えて笑える小説を書くことができればと思ってネトフリでスタンドアップコメディを観て研究してるのですがどぎつい下ネタと政治ネタばかりなので参考になってるのか分からないけど面白いから時間を忘れて観てしまって小説全然書いてません。,wrime_0
コンディショナー流し忘れまたやっちまったい！！,wrime_0
バイト終わり絶対迎えに来てくれる彼氏、嬉しいけどたまには一人でゆっくり帰りたいんだが…（笑）,bra_44
ムーンパンツ気になるな,wrime_0
冷凍チャーハンをアレンジするのが流行ってるらしいけど、俺は米の炊き方からこだわって作ったやつしかチャーハンって認めない。,bra_44
ルービックキューブ長時間回してると頭痛くなってくる,wrime_0
福岡までの飛行機予約した??ッッッッ！！！！,wrime_0
マスク無事にあちらに届いたそうで良かった。1枚3000円でも買ってくれる人がいることに驚き。,wrime_0
あいみょんかわい?,wrime_0
アニサマ3日目落ちたー(T_T)\n今年も1日目と2日目だけか、、、(´・ω・｀),wrime_0
大学の講義、ほとんど知ってる内容だから、内職で読む用の洋書が手放せない。,bra_44
"""夢イーブイ(ドリボ)の孵化余り(V4,5)けっこう溜まってきたから他の夢特性孵化余りと交換したいな。。。できればオシャボで。。。""",wrime_0
去年振袖きて白い毛を首にまいて、「あっ…、これ殺生丸様だ…！！！」ってなりました。\n\n成人おめでとう\nクライミング女子陣の振袖姿楽しみにしてます,wrime_0
げじげじなう,wrime_0
家で仕事してパソコンに向き合ってて、ふと右手を見て目に入るのが松の木の緑っていう今の部屋は、すごくリフレッシュできる環境だと思う。この部屋で勉強してたから適度に息抜きできて集中してたのかも…(^▽^;),wrime_0
ヒンドゥー教なんて、歴史的根拠もない神話と伝説の寄せ集めに過ぎないじゃん。,output_74
お金なさ過ぎて給料日までどう生活しようかと割とガチで悩んでたんだけど、2ヶ月くらい前に頑張ったおしごとのお金振り込まれてた！い、生きられる…人権を得た…過去の私えらい、ちょーおりこう,wrime_0
批判してる女は自分が初音ミクよりいい女だとでも思ってるのか？,wrime_0
